Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,MinerRevenue,USDT_marketcap,USDT_price,BTC_marketcap,BTC_price,USDC_marketcap,USDC_price,USDT_supply,forward_1_day_bitstamp_return,last_1_days_USDT_supply_increase,1_day_MinerRevenue,forward_7_day_bitstamp_return,last_7_days_USDT_supply_increase,7_day_MinerRevenue,forward_14_day_bitstamp_return,last_14_days_USDT_supply_increase,14_day_MinerRevenue,forward_21_day_bitstamp_return,last_21_days_USDT_supply_increase,21_day_MinerRevenue,forward_30_day_bitstamp_return,last_30_days_USDT_supply_increase,30_day_MinerRevenue,forward_45_day_bitstamp_return,last_45_days_USDT_supply_increase,45_day_MinerRevenue,forward_60_day_bitstamp_return,last_60_days_USDT_supply_increase,60_day_MinerRevenue,forward_180_day_bitstamp_return,last_180_days_USDT_supply_increase,180_day_MinerRevenue,forward_365_day_bitstamp_return,last_365_days_USDT_supply_increase,365_day_MinerRevenue,mtgox,coinbase/bitfinex,bitfinex-coinbase,google trends,google trends isPartial
2010-09-12,,,,,,,,,,531.009,,,,,,,,,,531.009,,,3516.015600041999,,,7206.560200074998,,,12188.130600151997,,,15170.239800152,,,15170.239800152,,,,,,,,,,0.0615,,,0.0,False
2010-09-13,,,,,,,,,,519.0000000059999,,,,,,,,,,519.0000000059999,,,3549.015600041999,,,7190.035000080998,,,11954.630600157998,,,15689.239800158,,,15689.239800158,,,,,,,,,,0.06219,,,,
2010-09-14,,,,,,,,,,609.0005762112,,,,,,,,,,609.0005762112,,,3624.016176253199,,,7155.021576271197,,,11804.075176369197,,,16298.2403763692,,,16298.2403763692,,,16298.2403763692,,,,,,,0.06199,,,,
2010-09-15,,,,,,,,,,760.5,,,,,,,,,,760.5,,,3871.516176229199,,,7444.516776259197,,,11794.575176369197,,,17058.7403763692,,,17058.7403763692,,,17058.7403763692,,,,,,,0.0604,,,,
2010-09-16,,,,,,,,,,1702.5,,,,,,,,,,1702.5,,,5163.0095762231995,,,8649.016776259197,,,12489.075176369197,,,18761.2403763692,,,18761.2403763692,,,18761.2403763692,,,,,,,0.0619,,,,
2010-09-17,,,,,,,,,,642.0,,,,,,,,,,642.0,,,5256.0095762171995,,,8787.016776259197,,,12532.575176369197,,,18930.6311763692,,,19403.2403763692,,,19403.2403763692,,,,,,,0.059,,,,
2010-09-18,,,,,,,,,,711.0108,,,,,,,,,,711.0108,,,5475.0203762172,,,8955.027576259197,,,12648.585976292197,,,19162.1419763692,,,20114.2511763692,,,20114.2511763692,,,,,,,0.061,,,,
2010-09-19,,,,,,,,,,645.0,,,,,,,,,,645.0,,,5589.0113762171995,,,9105.026976259198,,,12795.571576292197,,,19124.6419763692,,,20759.2511763692,,,20759.2511763692,,,,,,,0.0627,,,0.0,False
2010-09-20,,,,,,,,,,615.0,,,,,,,,,,615.0,,,5685.0113762112,,,9234.026976253197,,,12875.046376292197,,,19134.1419763692,,,21374.2511763692,,,21374.2511763692,,,,,,,0.0621,,,,
2010-09-21,,,,,,,,,,522.0000000059999,,,,,,,,,,522.0000000059999,,,5598.010800005999,,,9222.026976259196,,,12753.032376277197,,,18914.1419763752,,,21896.251176375197,,,21896.251176375197,,,,,,,0.06265,,,,
2010-09-22,,,,,,,,,,522.0,,,,,,,,,,522.0,,,5359.510800005999,,,9231.026976235196,,,12804.027576265196,,,18683.6419763752,,,22418.251176375197,,,22418.251176375197,,,,,,,0.0622,,,,
2010-09-23,,,,,,,,,,708.0,,,,,,,,,,708.0,,,4365.010800005999,,,9528.020376229197,,,13014.027576265196,,,18632.085976375198,,,23126.251176375197,,,23126.251176375197,,,,,,,0.06231,,,,
2010-09-24,,,,,,,,,,690.0,,,,,,,,,,690.0,,,4413.010800005999,,,9669.020376223198,,,13200.027576265196,,,18552.085976375198,,,23816.251176375197,,,23816.251176375197,,,,,,,0.0622,,,,
2010-09-25,,,,,,,,,,621.0,,,,,,,,,,621.0,,,4323.000000005999,,,9798.020376223198,,,13278.027576265196,,,18165.085976375198,,,24437.251176375197,,,24437.251176375197,,,,,,,0.06202,,,,
2010-09-26,,,,,,,,,,621.0,,,,,,,,,,621.0,,,4299.000000005999,,,9888.011376223198,,,13404.026976265197,,,18187.585976375198,,,25058.251176375197,,,25058.251176375197,,,,,,,0.062,,,0.025197237709619333,False
2010-09-27,,,,,,,,,,687.0012,,,,,,,,,,687.0012000000002,,,4371.001200005999,,,10056.0125762172,,,13605.028176259197,,,18279.587176298195,,,25745.252376375196,,,25745.252376375196,,,,,,,0.0622,,,,
2010-09-28,,,,,,,,,,912.0864,,,,,,,,,,912.0864000000003,,,4761.087599999999,,,10359.098400006,,,13983.114576259197,,,18693.659176298195,,,26657.338776375196,,,26657.338776375196,,,,,,,0.0619,,,,
2010-09-29,,,,,,,,,,498.0,,,,,,,,,,498.0000000000001,,,4737.087599999999,,,10096.598400006,,,13968.114576235197,,,18656.133976298195,,,27155.338776375196,,,27155.338776375196,,,,,,,0.06191,,,,
2010-09-30,,,,,,,,,,438.0,,,,,,,,,,438.0000000000001,,,4467.087599999999,,,8832.098400006,,,13995.107976229197,,,18450.119976277194,,,27593.338776375196,,,27593.338776375196,,,,,,,0.0619,,,,
2010-10-01,,,,,,,,,,468.0336,,,,,,,,,,468.0336000000001,,,4245.121199999999,,,8658.132000006,,,13914.141576223199,,,18447.148776265192,,,28061.372376375195,,,28061.372376375195,,,,,,,0.06197,,,,
2010-10-02,,,,,,,,,,300.00046608779996,,,,,,,,,,300.0004660878001,,,3924.121666087799,,,8247.1216660938,,,13722.142042311,,,18249.149242352993,,,27888.763642462996,,,28361.372842462995,,,,,,,0.0614,,,,
2010-10-03,,,,,,,,,,372.000465975,,,,,,,,,,372.0004659750001,,,3675.122132062799,,,7974.1221320688,,,13563.133508285999,,,18117.149708327994,,,27781.264108437997,,,28733.373308437996,,,,,,,0.06111,,,0.0,False
